step,value_loss
572,158123.52473958334
573,89383.13216145833
574,46909.119466145836
575,23357.669677734375
576,10300.021484375
577,3047.9417622884116
578,585.3697636922201
579,159.43115043640137
580,302.9430325826009
581,297.22133763631183
582,244.55722681681314
583,207.0715446472168
584,178.92676480611166
585,174.66766738891602
586,162.77177619934082
587,151.14351908365884
588,159.68822224934897
589,154.3806381225586
590,138.26921590169272
591,145.1177438100179
592,132.26101430257162
593,144.34087880452475
594,151.31044896443686
595,137.72616004943848
596,146.5804297129313
597,148.1175104777018
598,145.70735041300455
599,153.78332074483237
600,180.97331364949545
601,133.30874061584473
602,146.79388236999512
603,160.50358390808105
604,145.3038558959961
605,158.82517369588217
606,142.54408582051596
607,186.67197608947754
608,141.86347516377768
609,149.8085823059082
610,163.76798502604166
611,142.04040018717447
612,181.46659342447916
613,194.77166112263998
614,168.7209498087565
615,141.23894373575845
616,151.39151255289713
617,142.3313694000244
618,165.76252365112305
619,123.81055132548015
620,160.21425437927246
621,144.35920270284018
622,144.22217814127603
623,136.58528327941895
624,143.1770051320394
625,150.5695889790853
626,152.34654108683267
627,149.43096605936685
628,138.7136147816976
629,157.2742017110189
630,139.05898666381836
631,152.59285163879395
632,165.25467681884766
633,146.22363789876303
634,142.07742309570312
635,154.2990868886312
636,158.60165723164877
637,137.4600575764974
638,167.6362501780192
639,154.19113477071127
640,154.18820571899414
641,131.84020296732584
642,136.25225830078125
643,142.9788589477539
644,163.51464144388834
645,136.45291010538736
646,150.26102002461752
647,138.05616760253906
648,141.34766832987467
649,144.9718449910482
650,135.9769318898519
651,144.90895779927573
652,144.79902712504068
653,152.42543284098306
654,175.1855214436849
655,142.07336362202963
656,144.0918763478597
657,148.15932337443033
658,146.86416053771973
659,169.81874402364096
660,150.75391260782877
661,144.74095026652017
662,136.82309595743814
663,142.63421630859375
664,131.5672149658203
665,159.4403870900472
666,136.6843287150065
667,160.56554539998373
668,135.8488451639811
669,149.57063102722168
670,134.82327143351236
671,148.35187530517578
672,158.37142944335938
673,160.13357543945312
674,139.1654815673828
675,146.98972829182944
676,155.51879183451334
677,125.34057490030925
678,159.6811408996582
679,166.17371304829916
680,162.46435610453287
681,110.13496398925781
682,138.59310468037924
683,142.3753229777018
684,137.07506243387857
685,157.11737823486328
686,127.5702584584554
687,153.72851753234863
688,143.96965154012045
689,155.9386952718099
690,128.9537467956543
691,139.13803799947104
692,141.90637397766113
693,152.94265619913736
694,157.84186108907065
695,149.15400505065918
696,146.14337094624838
697,173.30146026611328
698,138.40013472239175
699,143.0491517384847
700,138.24074363708496
701,139.74487686157227
702,148.41421826680502
703,157.63344955444336
704,131.3463954925537
705,156.96227963765463
706,147.02519035339355
707,157.2317326863607
708,150.69786834716797
709,139.27820905049643
710,148.45423952738443
711,154.40659777323404
712,174.38606071472168
713,137.71588198343912
714,161.21440188090006
715,144.4778060913086
716,168.1974391937256
717,163.61252721150717
718,158.1955763498942
719,140.87206077575684
720,137.6905091603597
721,153.08723831176758
722,143.9114901224772
723,155.2894140879313
724,164.98480351765951
725,157.25482114156088
