step,epsilon
4000,0.09999000000000001
4001,0.09998000100000001
4002,0.09997000299990001
4003,0.09996000599960002
4004,0.09995000999900006
4005,0.09994001499800016
4006,0.09993002099650036
4007,0.09992002799440071
4008,0.09991003599160127
4009,0.0999000449880021
4010,0.0998900549835033
4011,0.09988006597800494
4012,0.09987007797140715
4013,0.09986009096361001
4014,0.09985010495451364
4015,0.09984011994401819
4016,0.09983013593202379
4017,0.09982015291843059
4018,0.09981017090313875
4019,0.09980018988604844
4020,0.09979020986705983
4021,0.09978023084607313
4022,0.09977025282298851
4023,0.09976027579770622
4024,0.09975029977012645
4025,0.09974032474014943
4026,0.09973035070767541
4027,0.09972037767260465
4028,0.09971040563483739
4029,0.09970043459427391
4030,0.09969046455081448
4031,0.09968049550435941
4032,0.09967052745480898
4033,0.0996605604020635
4034,0.0996505943460233
4035,0.0996406292865887
4036,0.09963066522366004
4037,0.09962070215713768
4038,0.09961074008692197
4039,0.09960077901291328
4040,0.099590818935012
4041,0.0995808598531185
4042,0.0995709017671332
4043,0.09956094467695648
4044,0.09955098858248879
4045,0.09954103348363054
4046,0.09953107938028218
4047,0.09952112627234415
4048,0.09951117415971691
4049,0.09950122304230094
4050,0.09949127291999671
4051,0.0994813237927047
4052,0.09947137566032543
4053,0.0994614285227594
4054,0.09945148237990713
4055,0.09944153723166914
4056,0.09943159307794597
4057,0.09942164991863818
4058,0.09941170775364631
4059,0.09940176658287095
4060,0.09939182640621266
4061,0.09938188722357204
4062,0.09937194903484968
4063,0.0993620118399462
4064,0.09935207563876221
4065,0.09934214043119834
4066,0.09933220621715522
4067,0.0993222729965335
4068,0.09931234076923384
4069,0.09930240953515691
4070,0.0992924792942034
4071,0.09928255004627398
4072,0.09927262179126936
4073,0.09926269452909023
4074,0.09925276825963732
4075,0.09924284298281136
4076,0.09923291869851308
4077,0.09922299540664323
4078,0.09921307310710256
4079,0.09920315179979185
4080,0.09919323148461187
4081,0.09918331216146341
4082,0.09917339383024726
4083,0.09916347649086424
4084,0.09915356014321515
4085,0.09914364478720084
4086,0.09913373042272211
4087,0.09912381704967983
4088,0.09911390466797487
4089,0.09910399327750807
4090,0.09909408287818032
4091,0.0990841734698925
4092,0.0990742650525455
4093,0.09906435762604025
4094,0.09905445119027766
4095,0.09904454574515863
4096,0.09903464129058412
4097,0.09902473782645506
4098,0.09901483535267241
4099,0.09900493386913715
4100,0.09899503337575025
4101,0.09898513387241267
4102,0.09897523535902543
4103,0.09896533783548953
4104,0.09895544130170597
4105,0.0989455457575758
4106,0.09893565120300005
4107,0.09892575763787975
4108,0.09891586506211597
4109,0.09890597347560975
4110,0.0988960828782622
4111,0.09888619326997437
4112,0.09887630465064738
4113,0.09886641702018231
4114,0.0988565303784803
4115,0.09884664472544245
4116,0.0988367600609699
4117,0.0988268763849638
4118,0.09881699369732531
4119,0.09880711199795558
4120,0.09879723128675579
4121,0.09878735156362711
4122,0.09877747282847076
4123,0.0987675950811879
4124,0.09875771832167979
4125,0.09874784254984763
4126,0.09873796776559264
4127,0.09872809396881609
4128,0.09871822115941921
4129,0.09870834933730327
4130,0.09869847850236954
4131,0.09868860865451931
4132,0.09867873979365387
4133,0.09866887191967451
4134,0.09865900503248254
4135,0.09864913913197929
4136,0.09863927421806609
4137,0.09862941029064429
4138,0.09861954734961523
4139,0.09860968539488027
4140,0.09859982442634078
4141,0.09858996444389816
4142,0.09858010544745377
4143,0.09857024743690902
4144,0.09856039041216533
4145,0.09855053437312411
4146,0.0985406793196868
4147,0.09853082525175483
4148,0.09852097216922966
4149,0.09851112007201274
4150,0.09850126896000554
4151,0.09849141883310954
4152,0.09848156969122623
4153,0.09847172153425711
4154,0.09846187436210369
4155,0.09845202817466747
4156,0.09844218297185
4157,0.09843233875355283
4158,0.09842249551967747
4159,0.0984126532701255
4160,0.09840281200479849
4161,0.09839297172359801
4162,0.09838313242642566
4163,0.09837329411318302
4164,0.0983634567837717
4165,0.09835362043809333
4166,0.09834378507604952
4167,0.09833395069754192
4168,0.09832411730247216
4169,0.09831428489074191
4170,0.09830445346225283
4171,0.09829462301690661
4172,0.09828479355460493
4173,0.09827496507524947
4174,0.09826513757874195
4175,0.09825531106498407
4176,0.09824548553387757
4177,0.09823566098532419
4178,0.09822583741922565
4179,0.09821601483548373
4180,0.09820619323400018
4181,0.09819637261467677
4182,0.09818655297741531
4183,0.09817673432211757
4184,0.09816691664868536
4185,0.09815709995702049
4186,0.09814728424702479
4187,0.09813746951860008
4188,0.09812765577164823
4189,0.09811784300607106
4190,0.09810803122177045
4191,0.09809822041864827
4192,0.0980884105966064
4193,0.09807860175554674
4194,0.09806879389537118
4195,0.09805898701598165
4196,0.09804918111728005
4197,0.09803937619916832
4198,0.0980295722615484
4199,0.09801976930432225
4200,0.09800996732739183
4201,0.09800016633065908
4202,0.09799036631402602
4203,0.09798056727739463
4204,0.09797076922066689
4205,0.09796097214374481
4206,0.09795117604653045
4207,0.09794138092892579
4208,0.0979315867908329
4209,0.09792179363215382
4210,0.09791200145279061
4211,0.09790221025264532
4212,0.09789242003162006
4213,0.0978826307896169
4214,0.09787284252653794
4215,0.0978630552422853
4216,0.09785326893676106
4217,0.09784348360986739
4218,0.0978336992615064
4219,0.09782391589158025
4220,0.09781413349999109
4221,0.0978043520866411
4222,0.09779457165143243
4223,0.09778479219426729
4224,0.09777501371504786
4225,0.09776523621367636
4226,0.09775545969005499
4227,0.09774568414408598
4228,0.09773590957567158
4229,0.09772613598471401
4230,0.09771636337111554
4231,0.09770659173477843
4232,0.09769682107560496
4233,0.0976870513934974
4234,0.09767728268835806
4235,0.09766751496008923
4236,0.09765774820859321
4237,0.09764798243377236
4238,0.09763821763552899
4239,0.09762845381376543
4240,0.09761869096838406
4241,0.09760892909928723
4242,0.0975991682063773
4243,0.09758940828955667
4244,0.09757964934872772
4245,0.09756989138379285
4246,0.09756013439465447
4247,0.09755037838121501
4248,0.09754062334337689
4249,0.09753086928104256
4250,0.09752111619411445
4251,0.09751136408249504
4252,0.0975016129460868
4253,0.09749186278479219
4254,0.0974821135985137
4255,0.09747236538715386
4256,0.09746261815061515
4257,0.09745287188880009
4258,0.09744312660161121
4259,0.09743338228895106
4260,0.09742363895072216
4261,0.09741389658682709
4262,0.0974041551971684
4263,0.09739441478164869
4264,0.09738467534017052
4265,0.0973749368726365
4266,0.09736519937894923
4267,0.09735546285901134
4268,0.09734572731272544
4269,0.09733599273999416
4270,0.09732625914072016
4271,0.09731652651480609
4272,0.09730679486215461
4273,0.0972970641826684
4274,0.09728733447625013
4275,0.0972776057428025
4276,0.09726787798222822
4277,0.09725815119443
4278,0.09724842537931055
4279,0.09723870053677262
4280,0.09722897666671895
4281,0.09721925376905229
4282,0.09720953184367538
4283,0.09719981089049101
4284,0.09719009090940196
4285,0.09718037190031102
4286,0.09717065386312099
4287,0.09716093679773467
4288,0.0971512207040549
4289,0.09714150558198449
4290,0.09713179143142629
4291,0.09712207825228315
4292,0.09711236604445793
4293,0.09710265480785349
4294,0.0970929445423727
4295,0.09708323524791847
4296,0.09707352692439368
4297,0.09706381957170124
4298,0.09705411318974407
4299,0.09704440777842509
4300,0.09703470333764724
4301,0.09702499986731349
4302,0.09701529736732675
4303,0.09700559583759003
4304,0.09699589527800627
4305,0.09698619568847847
4306,0.09697649706890962
4307,0.09696679941920273
4308,0.09695710273926081
4309,0.09694740702898688
4310,0.09693771228828399
4311,0.09692801851705517
4312,0.09691832571520347
4313,0.09690863388263195
4314,0.09689894301924369
4315,0.09688925312494177
4316,0.09687956419962929
4317,0.09686987624320932
4318,0.096860189255585
4319,0.09685050323665943
4320,0.09684081818633576
4321,0.09683113410451713
4322,0.09682145099110669
4323,0.09681176884600758
4324,0.09680208766912297
4325,0.09679240746035607
4326,0.09678272821961004
4327,0.09677304994678808
4328,0.0967633726417934
4329,0.09675369630452922
4330,0.09674402093489877
4331,0.09673434653280528
4332,0.09672467309815201
4333,0.0967150006308422
4334,0.09670532913077912
4335,0.09669565859786604
4336,0.09668598903200626
4337,0.09667632043310306
4338,0.09666665280105975
4339,0.09665698613577965
4340,0.09664732043716608
4341,0.09663765570512237
4342,0.09662799193955185
4343,0.0966183291403579
4344,0.09660866730744386
4345,0.09659900644071312
4346,0.09658934654006905
4347,0.09657968760541505
4348,0.09657002963665451
4349,0.09656037263369084
4350,0.09655071659642747
4351,0.09654106152476782
4352,0.09653140741861535
4353,0.09652175427787349
4354,0.09651210210244571
4355,0.09650245089223547
4356,0.09649280064714624
4357,0.09648315136708153
4358,0.09647350305194483
4359,0.09646385570163964
4360,0.09645420931606948
4361,0.09644456389513786
4362,0.09643491943874835
4363,0.09642527594680447
4364,0.09641563341920979
4365,0.09640599185586787
4366,0.09639635125668229
4367,0.09638671162155663
4368,0.09637707295039447
4369,0.09636743524309943
4370,0.09635779849957513
4371,0.09634816271972517
4372,0.0963385279034532
4373,0.09632889405066285
4374,0.09631926116125779
4375,0.09630962923514166
4376,0.09629999827221815
4377,0.09629036827239093
4378,0.0962807392355637
4379,0.09627111116164014
4380,0.09626148405052398
4381,0.09625185790211893
4382,0.09624223271632872
4383,0.09623260849305708
4384,0.09622298523220778
4385,0.09621336293368456
4386,0.09620374159739119
4387,0.09619412122323145
4388,0.09618450181110913
4389,0.09617488336092803
4390,0.09616526587259193
4391,0.09615564934600467
4392,0.09614603378107006
4393,0.09613641917769196
4394,0.09612680553577418
4395,0.0961171928552206
4396,0.09610758113593508
4397,0.09609797037782149
4398,0.09608836058078371
4399,0.09607875174472563
4400,0.09606914386955116
4401,0.09605953695516421
4402,0.09604993100146869
4403,0.09604032600836855
4404,0.09603072197576772
4405,0.09602111890357014
4406,0.09601151679167978
4407,0.09600191564000062
4408,0.09599231544843662
4409,0.09598271621689178
4410,0.0959731179452701
4411,0.09596352063347557
4412,0.09595392428141222
4413,0.09594432888898408
4414,0.09593473445609518
4415,0.09592514098264958
4416,0.09591554846855131
4417,0.09590595691370446
4418,0.09589636631801308
4419,0.09588677668138128
4420,0.09587718800371314
4421,0.09586760028491277
4422,0.09585801352488428
4423,0.09584842772353179
4424,0.09583884288075943
4425,0.09582925899647135
4426,0.09581967607057171
4427,0.09581009410296465
4428,0.09580051309355435
4429,0.095790933042245
4430,0.09578135394894077
4431,0.09577177581354587
4432,0.09576219863596452
4433,0.09575262241610093
4434,0.09574304715385931
4435,0.09573347284914392
4436,0.09572389950185901
4437,0.09571432711190883
4438,0.09570475567919765
4439,0.09569518520362973
4440,0.09568561568510936
4441,0.09567604712354084
4442,0.09566647951882849
4443,0.09565691287087662
4444,0.09564734717958953
4445,0.09563778244487157
4446,0.09562821866662709
4447,0.09561865584476043
4448,0.09560909397917595
4449,0.09559953306977804
4450,0.09558997311647106
4451,0.09558041411915942
4452,0.09557085607774751
4453,0.09556129899213973
4454,0.09555174286224052
4455,0.0955421876879543
4456,0.09553263346918552
4457,0.09552308020583859
4458,0.09551352789781802
4459,0.09550397654502824
4460,0.09549442614737373
4461,0.095484876704759
4462,0.09547532821708853
4463,0.09546578068426682
4464,0.0954562341061984
4465,0.09544668848278778
4466,0.0954371438139395
4467,0.09542760009955811
4468,0.09541805733954815
4469,0.0954085155338142
4470,0.09539897468226081
4471,0.09538943478479259
4472,0.09537989584131411
4473,0.09537035785172998
4474,0.09536082081594481
4475,0.09535128473386321
4476,0.09534174960538983
4477,0.09533221543042929
4478,0.09532268220888625
4479,0.09531314994066536
4480,0.0953036186256713
4481,0.09529408826380874
4482,0.09528455885498235
4483,0.09527503039909686
4484,0.09526550289605695
4485,0.09525597634576735
4486,0.09524645074813277
4487,0.09523692610305796
4488,0.09522740241044766
4489,0.09521787967020662
4490,0.0952083578822396
4491,0.09519883704645137
4492,0.09518931716274671
4493,0.09517979823103044
4494,0.09517028025120734
4495,0.09516076322318222
4496,0.09515124714685991
4497,0.09514173202214522
4498,0.095132217848943
4499,0.0951227046271581
4500,0.0951131923566954
4501,0.09510368103745973
4502,0.09509417066935598
4503,0.09508466125228904
4504,0.09507515278616381
4505,0.0950656452708852
4506,0.09505613870635811
4507,0.09504663309248748
4508,0.09503712842917823
4509,0.09502762471633532
4510,0.09501812195386368
4511,0.09500862014166829
4512,0.09499911927965413
4513,0.09498961936772617
4514,0.09498012040578939
4515,0.09497062239374882
4516,0.09496112533150944
4517,0.09495162921897629
4518,0.0949421340560544
4519,0.0949326398426488
4520,0.09492314657866453
4521,0.09491365426400666
4522,0.09490416289858027
4523,0.09489467248229042
4524,0.09488518301504219
4525,0.09487569449674069
4526,0.09486620692729102
4527,0.0948567203065983
4528,0.09484723463456764
4529,0.09483774991110418
4530,0.09482826613611307
4531,0.09481878330949946
4532,0.0948093014311685
4533,0.09479982050102538
4534,0.09479034051897528
4535,0.09478086148492339
4536,0.0947713833987749
4537,0.09476190626043503
4538,0.09475243006980899
4539,0.094742954826802
4540,0.09473348053131933
4541,0.09472400718326619
4542,0.09471453478254786
4543,0.09470506332906961
4544,0.09469559282273671
4545,0.09468612326345444
4546,0.0946766546511281
4547,0.09466718698566298
4548,0.09465772026696442
4549,0.09464825449493773
4550,0.09463878966948824
4551,0.0946293257905213
4552,0.09461986285794224
4553,0.09461040087165645
4554,0.0946009398315693
4555,0.09459147973758614
4556,0.09458202058961238
4557,0.09457256238755342
4558,0.09456310513131466
4559,0.09455364882080153
4560,0.09454419345591945
4561,0.09453473903657386
4562,0.0945252855626702
4563,0.09451583303411394
4564,0.09450638145081053
4565,0.09449693081266544
4566,0.09448748111958417
4567,0.09447803237147222
4568,0.09446858456823506
4569,0.09445913770977825
4570,0.09444969179600728
4571,0.09444024682682768
4572,0.094430802802145
4573,0.09442135972186479
4574,0.0944119175858926
4575,0.094402476394134
4576,0.0943930361464946
4577,0.09438359684287995
4578,0.09437415848319566
4579,0.09436472106734735
4580,0.09435528459524062
4581,0.09434584906678109
4582,0.09433641448187441
4583,0.09432698084042622
4584,0.09431754814234218
4585,0.09430811638752795
4586,0.0942986855758892
4587,0.09428925570733161
4588,0.09427982678176088
4589,0.0942703987990827
4590,0.09426097175920278
4591,0.09425154566202687
4592,0.09424212050746067
4593,0.09423269629540992
4594,0.09422327302578039
4595,0.0942138506984778
4596,0.09420442931340796
4597,0.09419500887047662
4598,0.09418558936958957
4599,0.0941761708106526
4600,0.09416675319357154
4601,0.09415733651825219
4602,0.09414792078460037
4603,0.09413850599252191
4604,0.09412909214192265
4605,0.09411967923270846
4606,0.09411026726478519
4607,0.09410085623805871
4608,0.09409144615243491
4609,0.09408203700781967
4610,0.09407262880411889
4611,0.09406322154123847
4612,0.09405381521908435
4613,0.09404440983756245
4614,0.09403500539657869
4615,0.09402560189603903
4616,0.09401619933584943
4617,0.09400679771591584
4618,0.09399739703614425
4619,0.09398799729644064
4620,0.093978598496711
4621,0.09396920063686133
4622,0.09395980371679764
4623,0.09395040773642596
4624,0.09394101269565232
4625,0.09393161859438276
4626,0.09392222543252332
4627,0.09391283320998008
4628,0.09390344192665907
4629,0.09389405158246641
4630,0.09388466217730818
4631,0.09387527371109045
4632,0.09386588618371934
