step,value_loss
4000,2711.5556640625
4001,2620.07470703125
4002,2451.115234375
4003,2550.567626953125
4004,2843.235107421875
4005,2755.365966796875
4006,2497.37548828125
4007,2588.8955078125
4008,2303.59033203125
4009,2445.55419921875
4010,2563.04150390625
4011,2729.83251953125
4012,2535.931640625
4013,2719.75048828125
4014,2826.392333984375
4015,2361.82861328125
4016,2531.96435546875
4017,2687.88427734375
4018,2589.388671875
4019,2643.86474609375
4020,2751.5693359375
4021,2657.68359375
4022,2489.10986328125
4023,2556.0712890625
4024,2419.27734375
4025,2545.671142578125
4026,2533.6591796875
4027,2486.10595703125
4028,2613.46826171875
4029,2550.0341796875
4030,2689.0068359375
4031,2477.595703125
4032,2282.41650390625
4033,2640.65234375
4034,2656.65380859375
4035,2327.99072265625
4036,2343.2255859375
4037,2143.24658203125
4038,2272.573486328125
4039,2568.776123046875
4040,2484.25634765625
4041,2426.94921875
4042,2651.692626953125
4043,2500.591796875
4044,2396.953369140625
4045,2485.61865234375
4046,2506.89111328125
4047,2648.9619140625
4048,2543.83642578125
4049,2523.73095703125
4050,2344.6875
4051,2341.37158203125
4052,2318.00732421875
4053,2656.575439453125
4054,2392.978515625
4055,2332.736083984375
4056,2324.85693359375
4057,2013.5531005859375
4058,2086.3681640625
4059,2362.36181640625
4060,1980.972900390625
4061,1965.808837890625
4062,2263.2646484375
4063,2075.00048828125
4064,2430.63232421875
4065,2049.071533203125
4066,2188.596435546875
4067,1750.4921875
4068,2072.34130859375
4069,1918.059326171875
4070,1950.8931884765625
4071,1976.5870361328125
4072,1797.986328125
4073,1907.517333984375
4074,1779.0391845703125
4075,1709.1005859375
4076,1834.8067626953125
4077,1532.570068359375
4078,1785.33447265625
4079,1658.0372314453125
4080,1788.6832275390625
4081,1367.323974609375
4082,1617.922119140625
4083,1551.43798828125
4084,1521.092529296875
4085,1488.882568359375
4086,1290.0694580078125
4087,1227.802490234375
4088,1432.379150390625
4089,1225.0728759765625
4090,1121.88525390625
4091,1174.7720947265625
4092,1104.637451171875
4093,969.8021850585938
4094,846.1319580078125
4095,1048.42236328125
4096,1030.610107421875
4097,962.910888671875
4098,1006.3511352539062
4099,870.7940673828125
4100,878.3070678710938
4101,758.5003051757812
4102,626.2098388671875
4103,553.966064453125
4104,588.5145263671875
4105,510.2840576171875
4106,518.6939697265625
4107,526.279296875
4108,524.12744140625
4109,547.9944458007812
4110,391.41961669921875
4111,411.9627685546875
4112,352.44970703125
4113,384.12432861328125
4114,427.9750061035156
4115,336.15240478515625
4116,314.07733154296875
4117,326.16729736328125
4118,326.3826599121094
4119,202.60467529296875
4120,230.24774169921875
4121,243.68011474609375
4122,283.47320556640625
4123,157.9295196533203
4124,214.21231079101562
4125,189.38861083984375
4126,206.58819580078125
4127,125.76148986816406
4128,235.4171142578125
4129,141.1917266845703
4130,113.93175506591797
4131,224.34518432617188
4132,163.86679077148438
4133,212.40541076660156
4134,108.68856811523438
4135,110.61137390136719
4136,120.97465515136719
4137,101.65284729003906
4138,232.0150146484375
4139,159.10891723632812
4140,108.03295135498047
4141,135.49850463867188
4142,123.37152099609375
4143,100.62989044189453
4144,120.89382934570312
4145,119.13687133789062
4146,150.7797393798828
4147,62.56086730957031
4148,103.7767562866211
4149,139.0091094970703
4150,129.98533630371094
4151,88.849853515625
4152,225.53472900390625
4153,159.60174560546875
4154,89.59980773925781
4155,97.82525634765625
4156,130.04119873046875
4157,138.2872314453125
4158,248.4460906982422
4159,124.59879302978516
4160,131.65203857421875
4161,136.80221557617188
4162,97.94194793701172
4163,118.84335327148438
4164,171.15606689453125
4165,114.4306411743164
4166,54.168724060058594
4167,125.39462280273438
4168,166.6025390625
4169,121.74394226074219
4170,219.49424743652344
4171,150.55877685546875
4172,171.53646850585938
4173,101.48819732666016
4174,129.14248657226562
4175,70.39717102050781
4176,135.2880096435547
4177,179.65512084960938
4178,123.67140197753906
4179,144.2096405029297
4180,77.14022827148438
4181,125.3938217163086
4182,91.3508071899414
4183,104.73346710205078
4184,85.04702758789062
4185,140.63523864746094
4186,207.784423828125
4187,83.74593353271484
4188,289.23712158203125
4189,106.54913330078125
4190,118.52002716064453
4191,153.9389190673828
4192,138.48043823242188
4193,117.21092224121094
4194,163.40634155273438
4195,187.94979858398438
4196,283.68035888671875
4197,82.79851531982422
4198,212.58863830566406
4199,85.68362426757812
4200,155.81393432617188
4201,65.30055236816406
4202,162.9240264892578
4203,142.77401733398438
4204,79.44715881347656
4205,144.88531494140625
4206,124.27470397949219
4207,249.35946655273438
4208,185.1749267578125
4209,207.20018005371094
4210,105.76947021484375
4211,167.8226776123047
4212,120.13709259033203
4213,130.40960693359375
4214,114.9775161743164
4215,68.95198059082031
4216,194.62083435058594
4217,170.16070556640625
4218,193.894287109375
4219,277.8277282714844
4220,136.36331176757812
4221,128.4682159423828
4222,159.0175018310547
4223,189.99948120117188
4224,97.32489776611328
4225,376.1112060546875
4226,202.35690307617188
4227,134.7743682861328
4228,75.36952209472656
4229,297.73663330078125
4230,95.8095474243164
4231,184.38870239257812
4232,77.79887390136719
4233,194.58798217773438
4234,135.05859375
4235,216.739013671875
4236,175.95526123046875
4237,327.35791015625
4238,79.51512908935547
4239,110.7720947265625
4240,88.42593383789062
4241,262.9095764160156
4242,158.90533447265625
4243,231.0396728515625
4244,223.30943298339844
4245,126.37321472167969
4246,190.41102600097656
4247,170.25286865234375
4248,227.49649047851562
4249,81.6827392578125
4250,270.4151611328125
4251,127.95484924316406
4252,324.378173828125
4253,152.5055389404297
4254,82.33274841308594
4255,109.23191833496094
4256,214.75582885742188
4257,103.5689697265625
4258,241.24655151367188
4259,152.8900146484375
4260,195.8766632080078
4261,283.4971923828125
4262,258.9032897949219
4263,95.33647918701172
4264,233.15359497070312
4265,206.18528747558594
4266,153.18116760253906
4267,348.76873779296875
4268,98.21842956542969
4269,190.89186096191406
4270,157.09835815429688
4271,185.5224151611328
4272,156.1351776123047
4273,339.7064208984375
4274,207.78176879882812
4275,62.72524642944336
4276,92.25387573242188
4277,77.6719741821289
4278,131.0955810546875
4279,317.46722412109375
4280,75.27323150634766
4281,117.8469467163086
4282,197.3625946044922
4283,267.7518005371094
4284,259.439453125
4285,200.82044982910156
4286,98.23957824707031
4287,188.5698699951172
4288,85.67811584472656
4289,173.5762939453125
4290,159.20692443847656
4291,174.1752166748047
4292,191.37030029296875
4293,286.27276611328125
4294,147.82859802246094
4295,124.30371856689453
4296,121.04257202148438
4297,107.07884979248047
4298,101.48941040039062
4299,177.56541442871094
4300,215.68875122070312
4301,146.8154296875
4302,181.4828338623047
4303,152.31822204589844
4304,325.5689697265625
4305,77.81290435791016
4306,177.928466796875
4307,292.46221923828125
4308,256.480224609375
4309,280.22119140625
4310,103.4608154296875
4311,96.67643737792969
4312,148.49066162109375
4313,251.31089782714844
4314,34.100589752197266
4315,56.998390197753906
4316,210.8228759765625
4317,310.4580078125
4318,141.36679077148438
4319,103.74423217773438
4320,149.70449829101562
4321,153.1829376220703
4322,163.2819061279297
4323,299.80029296875
4324,262.1438903808594
4325,268.59228515625
4326,389.5821533203125
4327,245.71473693847656
4328,209.29312133789062
4329,119.28085327148438
4330,221.18002319335938
4331,142.30886840820312
4332,183.2582550048828
4333,334.9007568359375
4334,213.34408569335938
4335,85.33164978027344
4336,98.3730697631836
4337,157.33676147460938
4338,273.529296875
4339,140.8256378173828
4340,128.6557159423828
4341,213.26861572265625
4342,126.56853485107422
4343,199.84420776367188
4344,95.12860107421875
4345,162.83718872070312
4346,154.95025634765625
4347,144.5688934326172
4348,433.7081298828125
4349,228.6439208984375
4350,235.9478759765625
4351,211.07240295410156
4352,213.69998168945312
4353,137.47499084472656
4354,169.5291290283203
4355,307.2947692871094
4356,325.78900146484375
4357,328.9752197265625
4358,359.11676025390625
4359,234.78199768066406
4360,277.1853332519531
4361,188.39724731445312
4362,291.746337890625
4363,113.15276336669922
4364,222.06207275390625
4365,320.3235778808594
4366,81.23086547851562
4367,187.4945068359375
4368,331.7661437988281
4369,214.994384765625
4370,215.76425170898438
4371,278.8980712890625
4372,99.75751495361328
4373,211.10733032226562
4374,311.55517578125
4375,263.39263916015625
4376,188.1000518798828
4377,138.41482543945312
4378,303.9365234375
4379,111.32679748535156
4380,160.1131134033203
4381,221.54721069335938
4382,180.74002075195312
4383,335.0959777832031
4384,279.762939453125
4385,335.5914306640625
4386,81.64437866210938
4387,164.90701293945312
4388,172.26028442382812
4389,280.11541748046875
4390,197.21737670898438
4391,110.97347259521484
4392,246.83128356933594
4393,185.14549255371094
4394,319.5013427734375
4395,195.70921325683594
4396,242.0424041748047
4397,271.3787536621094
4398,158.21942138671875
4399,203.63803100585938
4400,240.4210968017578
4401,143.2489776611328
4402,229.07908630371094
4403,230.00192260742188
4404,112.81607818603516
4405,117.19022369384766
4406,257.20184326171875
4407,103.73095703125
4408,149.71505737304688
4409,270.48681640625
4410,363.4914245605469
4411,178.96585083007812
4412,225.82310485839844
4413,211.8491973876953
4414,118.7655029296875
4415,332.3523254394531
4416,231.3391876220703
4417,114.97027587890625
4418,250.46047973632812
4419,224.52224731445312
4420,150.75836181640625
4421,246.92041015625
4422,164.57827758789062
4423,231.13973999023438
4424,152.13076782226562
4425,168.37216186523438
4426,80.75711822509766
4427,189.6819305419922
4428,93.42650604248047
4429,288.8236999511719
4430,276.0376281738281
4431,225.42813110351562
4432,163.4578857421875
4433,459.2100830078125
4434,241.23895263671875
4435,137.3512725830078
4436,137.59022521972656
4437,173.10791015625
4438,61.66194534301758
4439,170.75396728515625
4440,189.58457946777344
4441,146.42807006835938
4442,227.2113037109375
4443,122.39820861816406
4444,269.26129150390625
4445,305.8342590332031
4446,184.64126586914062
4447,197.16854858398438
4448,245.62850952148438
4449,264.5407409667969
4450,191.79348754882812
4451,240.29891967773438
4452,89.71090698242188
4453,190.3167724609375
4454,445.7462158203125
4455,172.42735290527344
4456,251.23971557617188
4457,145.79763793945312
4458,291.6611328125
4459,202.72897338867188
4460,168.14968872070312
4461,175.60044860839844
4462,235.14797973632812
4463,231.69686889648438
4464,240.6474609375
4465,138.21505737304688
4466,93.59423828125
