step,value_loss
334,2961.706013997396
335,2957.7334187825522
336,2794.9904174804688
337,2545.0061848958335
338,2104.5124003092446
339,1373.1860249837239
340,617.1372222900391
341,127.82898902893066
342,92.96424945195515
343,52.224730014801025
344,49.688596884409584
345,81.63794072469075
346,68.85191329320271
347,85.11151011784871
348,89.02055931091309
349,88.06402047475179
350,74.72971375783284
351,109.9727071126302
352,123.26979207992554
353,122.62617715199788
354,103.71168518066406
355,104.66906038920085
356,163.36226018269858
357,147.80736796061197
358,170.94771321614584
359,159.47318394978842
360,130.95530859629312
361,181.8048324584961
362,162.06890869140625
363,137.74506441752115
364,146.38677724202475
365,148.20023981730142
366,180.83660634358725
367,175.3163798650106
368,177.1845556894938
369,182.74001757303873
370,170.5288791656494
371,182.36410331726074
372,183.65738995869955
373,180.87341817220053
374,187.4461326599121
375,166.26422437032065
376,169.4526049296061
377,204.3712673187256
378,208.28486188252768
379,209.04390462239584
380,176.8201529184977
381,162.97075017293295
382,171.15232276916504
383,182.85912958780924
384,193.6761620839437
385,194.57248179117838
386,184.90243021647134
387,185.92466735839844
388,183.35707664489746
389,181.33686129252115
390,195.2593682607015
391,183.6001262664795
392,157.84238624572754
393,154.32137298583984
394,148.82170295715332
395,153.95221964518228
396,189.92404810587564
397,139.98663838704428
398,150.23914019266763
399,176.61858876546225
400,169.92453702290854
401,133.68760108947754
402,147.8427365620931
403,180.88260904947916
404,186.68936920166016
405,171.10949770609537
406,218.55095291137695
407,176.3121019999186
408,178.64422734578451
409,176.503054300944
410,252.58334604899088
411,228.909818649292
412,234.9230931599935
413,281.512362798055
414,242.36663055419922
415,223.36638482411703
416,282.6463508605957
417,227.01025390625
418,203.17792383829752
419,329.04588826497394
420,249.0555508931478
421,281.23887888590497
422,292.74010976155597
423,324.4456380208333
424,324.85629018147785
425,335.477019627889
426,352.7298927307129
427,288.9043032328288
428,237.34520530700684
429,337.43016815185547
430,413.2968292236328
431,318.18939208984375
432,413.599183400472
433,286.3302510579427
434,347.502140045166
435,358.76264572143555
436,381.01231892903644
437,372.0259424845378
438,389.9487838745117
439,409.4780553181966
440,336.9671745300293
441,282.5166982014974
442,373.8931948343913
443,285.58894030253094
444,327.9548683166504
445,333.0509490966797
446,366.28790791829425
447,381.02841822306317
448,354.37596893310547
449,412.0274200439453
450,344.5156313578288
451,362.75797780354816
452,388.08783467610675
453,378.92125193277997
454,326.9261360168457
455,407.21457799275714
456,337.5755437215169
457,381.73621622721356
458,386.81860605875653
459,326.32018152872723
460,417.4620361328125
461,386.4846827189128
462,391.23873138427734
463,337.31637446085614
464,339.0426966349284
465,349.11456807454425
466,331.95577239990234
467,344.0214538574219
468,358.8846740722656
469,329.0933303833008
470,382.79716237386066
471,359.15273157755536
472,392.4798227945964
473,391.97391510009766
474,356.85148366292316
475,361.84514872233075
476,326.09847259521484
477,352.7716890970866
478,341.4034016927083
479,302.828182220459
480,345.1906102498372
481,301.87597910563153
482,304.12557856241864
483,320.5171750386556
484,285.3741226196289
485,320.10086186726886
486,303.31787363688153
487,327.90037790934247
488,345.275141398112
489,301.31298573811847
490,290.92381286621094
491,291.45550028483075
492,291.7660446166992
493,255.19030888875326
494,306.53466033935547
495,299.277530670166
496,306.8740692138672
497,296.26369857788086
498,296.68245697021484
499,305.66209920247394
500,294.7782122294108
501,307.34542592366535
502,263.935551961263
503,264.6712582906087
504,289.6351203918457
505,296.80471928914386
506,297.36045328776044
507,263.85790125528973
508,296.18951924641925
509,268.37100474039715
510,258.6275151570638
511,255.2215665181478
512,271.1650505065918
513,251.1037915547689
514,223.2443593343099
515,239.90899403889975
516,231.17386754353842
517,237.4366315205892
518,239.6184310913086
519,257.7042058308919
520,232.54346466064453
521,225.9044100443522
522,198.9104092915853
523,248.02275530497232
524,229.16793950398764
525,229.43574142456055
526,225.78430684407553
527,245.6284383138021
528,250.81603240966797
529,215.94827524820963
530,190.21929550170898
531,203.23559697469076
532,217.06521224975586
533,207.4236272176107
534,210.35843912760416
535,210.93819046020508
536,214.76148096720377
537,225.42646725972494
538,202.88999938964844
539,212.1121997833252
540,219.3729616800944
541,214.0400021870931
542,205.05242665608725
543,204.05245717366537
544,211.67839940388998
545,178.10499318440756
546,180.20849418640137
547,193.38793182373047
548,152.07608286539713
549,194.4137808481852
550,183.49506123860678
551,178.0119425455729
552,159.21246465047201
553,182.01852226257324
554,206.62987772623697
555,194.22206751505533
556,156.70005544026694
557,188.01977666219076
558,179.37158393859863
559,164.75850550333658
560,157.63960774739584
561,129.62750816345215
562,150.99996185302734
563,165.93726348876953
564,164.34882926940918
565,148.11537996927896
566,154.03733762105307
567,129.70024871826172
568,169.22305552164713
569,141.08456548055014
570,164.37234433492026
571,153.05905405680338
572,141.19266764322916
573,144.1738135019938
574,183.9426695505778
575,142.2444133758545
576,153.2209618886312
577,145.14467239379883
578,135.81739807128906
579,154.62977949778238
580,153.6501490275065
581,145.95643043518066
582,136.39900016784668
583,139.0084482828776
584,152.0894692738851
585,112.36272621154785
586,136.8741283416748
587,135.77394517262778
588,106.75271161397298
589,151.762965520223
590,110.69737370808919
591,215.05051040649414
592,118.50410588582356
593,133.49501673380533
594,107.5978552500407
595,122.5978832244873
596,103.8847058614095
597,140.9397061665853
598,97.6753438313802
599,241.10516484578451
600,133.55695247650146
601,113.5175355275472
602,93.408309618632
603,93.5299441019694
604,107.84159151713054
605,172.98093223571777
606,91.56049219767253
607,132.17499860127768
608,86.1385072072347
609,86.37819862365723
610,101.20381546020508
611,98.24776077270508
612,134.4376392364502
613,82.38457520802815
614,96.11290105183919
615,132.892191251119
616,108.65957959493001
617,128.46884981791177
618,99.19078318277995
619,130.5604648590088
620,147.7881825764974
621,85.51958656311035
622,134.869722366333
623,130.36497751871744
624,89.16662311553955
625,89.86676565806071
626,88.79818884531657
627,89.60245132446289
628,80.74459393819173
629,96.6640510559082
630,82.20739714304607
631,96.29959646860759
632,99.85035641988118
633,94.0750789642334
634,129.78307723999023
635,130.57337633768717
636,118.50673643747966
637,137.3853152592977
638,87.04324245452881
639,78.59622955322266
640,79.14797878265381
641,133.89333311716715
642,129.0238939921061
643,75.21331246693929
644,72.55160490671794
645,82.03108406066895
646,123.7068608601888
647,77.36581420898438
648,165.39087359110513
649,82.21080144246419
650,100.98166529337566
651,159.80524508158365
652,87.4060697555542
653,77.49946530659993
654,128.01007080078125
655,159.6968619028727
656,129.8223876953125
657,84.49496968587239
658,127.59389654795329
659,128.24824396769205
660,86.83950265248616
661,185.0752681096395
662,81.31532796223958
663,88.49326070149739
664,85.99914773305257
665,126.99819946289062
666,97.27937698364258
667,73.69115702311198
668,119.9010747273763
669,130.35368410746256
670,81.80783748626709
671,82.3352108001709
672,179.08175150553384
673,78.99538930257161
674,84.0893923441569
675,89.46850840250652
676,170.63634904225668
677,168.09073988596597
678,161.6278397242228
679,124.45424779256184
680,92.85222784678142
681,88.73201560974121
682,74.939843972524
683,119.85098330179851
684,88.07284863789876
685,122.73995367685954
686,185.34027767181396
687,133.53101857503256
688,177.80531469980875
689,91.37782382965088
690,85.11964162190755
691,88.80921236673991
692,97.81781101226807
693,140.6553249359131
694,87.50261243184407
695,136.0972760518392
696,142.10670598347983
697,125.03866195678711
698,88.38266563415527
699,77.33062076568604
700,96.3268985748291
701,135.6031862894694
702,91.55847454071045
703,181.5148687362671
704,76.572985013326
705,123.66773859659831
706,71.108336130778
707,226.89202817281088
708,83.9150931040446
709,131.4603411356608
710,173.69267749786377
711,132.23688538869223
712,77.52595297495525
713,121.95391082763672
714,127.49283536275227
715,84.2281068166097
716,90.04179954528809
717,73.59921836853027
718,90.96822611490886
719,76.23386987050374
720,65.6874516805013
721,79.5236717859904
722,129.03514830271402
723,86.06182289123535
724,125.9201618830363
725,124.20844618479411
726,71.58155123392741
727,81.01587041219075
728,72.46015516916911
729,75.1403621037801
730,105.09587383270264
731,132.5012362798055
732,85.83898607889812
733,81.9899320602417
734,77.98046271006267
735,169.35050868988037
736,94.82282288869222
737,121.91127141316731
738,77.75024350484212
739,123.66772524515788
740,77.93496036529541
741,174.66621017456055
742,71.94888146718343
743,81.63882605234782
744,87.921737353007
745,82.4828691482544
746,89.07969570159912
747,84.71248976389568
748,83.77165985107422
749,75.62803363800049
750,179.53185081481934
751,137.70186360677084
752,125.63868395487468
753,79.53445625305176
754,174.1143423716227
755,86.77634557088216
756,68.66725285847981
757,124.3209212621053
758,87.32601420084636
759,86.50826803843181
760,78.77541605631511
761,126.27082983652751
762,76.6911973953247
763,84.4629332224528
764,78.23893038431804
765,136.52856381734213
766,83.83746274312337
767,79.21940644582112
768,122.20224793752034
769,94.21320056915283
770,121.66646226247151
771,89.19360987345378
772,73.96545950571696
773,86.49167950948079
774,122.7161677678426
775,124.97094249725342
776,63.73729674021403
777,68.71427504221599
778,62.52600987752279
779,105.90035438537598
780,143.01307169596353
781,96.16113789876302
782,147.01362164815268
783,76.33052094777425
784,86.26364453633626
785,82.92446041107178
786,73.53537400563557
787,202.992945988973
788,107.56528186798096
789,93.8660961786906
790,72.30453650156657
791,83.78413073221843
792,71.25655841827393
793,69.90013408660889
794,91.69356791178386
795,77.40890947977702
796,82.22911198933919
797,177.70670318603516
798,146.35249837239584
799,135.90152231852213
800,131.57953008015951
801,83.31545035044353
802,87.08683172861735
803,73.83170064290364
804,111.98804601033528
805,117.6912914911906
806,91.10272026062012
807,118.07551034291585
808,89.92674446105957
809,81.35280291239421
810,86.81187756856282
811,177.32015101114908
812,126.99128882090251
813,68.66469542185466
814,72.64918359120686
815,89.01171334584554
816,127.08373483022054
817,80.25680351257324
818,100.11910088857015
819,117.65672874450684
820,69.51540629069011
821,63.69981829325358
822,84.75171724955241
823,150.599365234375
824,92.72133827209473
825,85.00958220163982
826,220.03993352254233
827,69.7559248606364
828,91.44737434387207
829,78.47073427836101
830,84.57309436798096
831,117.45080693562825
832,117.77309799194336
833,82.08080132802327
834,79.55097611745198
835,130.192164738973
836,82.62186368306477
837,75.87722365061443
838,125.34204896291097
839,84.35364818572998
840,127.71720155080159
841,84.185684521993
842,109.11307907104492
843,123.1138547261556
844,71.60344727834065
845,170.5906842549642
846,127.5923646291097
847,155.68834686279297
848,82.56811809539795
849,86.10189056396484
850,82.86740811665852
851,121.35829639434814
852,82.88663895924886
853,83.12383492787679
854,87.73188495635986
855,82.73231633504231
856,126.6881144841512
857,88.90753523508708
858,131.57004578908285
859,163.61503156026205
860,140.56232929229736
861,77.39428615570068
862,90.17715835571289
863,84.8071715037028
864,177.92837270100912
865,129.95692539215088
866,91.97260348002116
867,127.4971227645874
868,138.88667392730713
869,131.40132586161295
870,89.31785678863525
871,93.03258450826009
872,79.55322392781575
873,73.64928277333577
874,91.67494138081868
875,91.21719932556152
876,87.29215558369954
877,167.10536162058511
878,91.07316239674886
879,110.1007792154948
880,93.98757712046306
881,79.04299545288086
882,89.90681886672974
883,125.86667378743489
884,85.17552280426025
885,141.04616483052573
886,85.88761679331462
887,126.8359416325887
888,127.2437572479248
889,85.03546873728435
890,87.37681833902995
891,127.2160488764445
892,82.06534830729167
893,74.25773747762044
894,82.30629475911458
895,86.40139802296956
896,83.84096050262451
897,81.87038040161133
898,125.62838077545166
899,127.00443681081136
900,129.1042906443278
901,120.05983225504558
902,85.66207122802734
903,85.38021977742513
904,125.12499491373698
905,89.23133913675944
906,82.55916563669841
907,89.51629384358723
908,117.16774622599284
909,83.3405605951945
910,126.59700139363606
911,80.6053975423177
912,92.65306218465169
913,87.77121257781982
914,254.81154441833496
915,68.86303170522054
916,75.46162096659343
917,67.88354142506917
918,117.4386781056722
919,125.12327988942464
920,76.0787722269694
921,85.84389019012451
922,72.52436033884685
923,80.99902216593425
924,70.92227904001872
925,78.45568784077962
926,79.90557320912679
927,79.31706460316975
928,114.15483125050862
929,161.42315483093262
930,82.01562627156575
931,118.96347014109294
932,140.82047430674234
933,91.74911944071452
934,95.11115900675456
935,97.24772834777832
936,128.20951906840006
937,104.21368153889973
938,127.98550605773926
939,85.42357508341472
940,129.26384862263998
941,72.28980763753255
942,84.47420279184978
943,164.76250712076822
944,80.56662050882976
945,89.30984369913737
