step,value_loss
267,640.2374471028646
268,536.6617101033529
269,360.8662757873535
270,124.93879413604736
271,95.38394864400227
272,68.8874117533366
273,68.47335497538249
274,73.49638652801514
275,70.77958901723225
276,64.73599688212077
277,75.79085922241211
278,69.66856511433919
279,74.72176440556844
280,73.57836723327637
281,75.29735565185547
282,72.07558790842693
283,79.02645842234294
284,70.50294240315755
285,71.21555519104004
286,79.6632178624471
287,87.88247044881184
288,86.39371077219646
289,88.26426633199056
290,84.19307963053386
291,81.14948654174805
292,80.74413140614827
293,79.1674321492513
294,73.16467793782552
295,83.52116807301839
296,73.27758439381917
297,78.8759085337321
298,81.73818969726562
299,78.09057108561198
300,64.10175196329753
301,77.3177843093872
302,72.14531707763672
303,72.12780380249023
304,93.60488096872966
305,83.56386788686116
306,73.10207525889079
307,79.57982444763184
308,86.91609414418538
309,83.19057210286458
310,89.4540189107259
311,97.92601521809895
312,85.7354907989502
313,99.23650232950847
314,95.4922399520874
315,86.76374244689941
316,87.0262409845988
317,85.83672841389973
318,75.21067428588867
319,81.45977052052815
320,76.46083291371663
321,86.4926643371582
322,88.32016817728679
323,100.55817063649495
324,108.4150505065918
325,127.06164995829265
326,112.80778916676839
327,124.85886637369792
328,89.59351857503255
329,121.59227466583252
330,105.4172550837199
331,94.89873790740967
332,99.58235518137614
333,97.69172286987305
334,115.71346092224121
335,104.38516330718994
336,131.14738400777182
337,123.27965482076009
338,128.73022905985513
339,125.6807066599528
340,107.78128433227539
341,111.80311711629231
342,100.38859875996907
343,113.05856641133626
344,113.39304669698079
345,128.3409938812256
346,125.54377110799153
347,138.1380132039388
348,116.36791038513184
349,120.04499371846516
350,122.92453638712566
351,130.07107289632162
352,126.86240704854329
353,122.74649492899577
354,128.80785497029623
355,147.15292612711588
356,159.19365946451822
357,131.0141626993815
358,148.6560090382894
359,138.75226465861002
360,143.35110918680826
361,127.17913595835368
362,122.07864348093669
363,145.92955780029297
364,124.67282422383626
365,107.5259183247884
366,143.3559481302897
367,117.26283327738444
368,105.85750516255696
369,109.74275652567546
370,117.84033457438152
371,136.1988957722982
372,113.62668927510579
373,151.61367193857828
374,116.41996892293294
