step,epsilon
267,0.09999000000000001
268,0.09998000100000001
269,0.09997000299990001
270,0.09996000599960002
271,0.09995000999900006
272,0.09994001499800016
273,0.09993002099650036
274,0.09992002799440071
275,0.09991003599160127
276,0.0999000449880021
277,0.0998900549835033
278,0.09988006597800494
279,0.09987007797140715
280,0.09986009096361001
281,0.09985010495451364
282,0.09984011994401819
283,0.09983013593202379
284,0.09982015291843059
285,0.09981017090313875
286,0.09980018988604844
287,0.09979020986705983
288,0.09978023084607313
289,0.09977025282298851
290,0.09976027579770622
291,0.09975029977012645
292,0.09974032474014943
293,0.09973035070767541
294,0.09972037767260465
295,0.09971040563483739
296,0.09970043459427391
297,0.09969046455081448
298,0.09968049550435941
299,0.09967052745480898
300,0.0996605604020635
301,0.0996505943460233
302,0.0996406292865887
303,0.09963066522366004
304,0.09962070215713768
305,0.09961074008692197
306,0.09960077901291328
307,0.099590818935012
308,0.0995808598531185
309,0.0995709017671332
310,0.09956094467695648
311,0.09955098858248879
312,0.09954103348363054
313,0.09953107938028218
314,0.09952112627234415
315,0.09951117415971691
316,0.09950122304230094
317,0.09949127291999671
318,0.0994813237927047
319,0.09947137566032543
320,0.0994614285227594
321,0.09945148237990713
322,0.09944153723166914
323,0.09943159307794597
324,0.09942164991863818
325,0.09941170775364631
326,0.09940176658287095
327,0.09939182640621266
328,0.09938188722357204
329,0.09937194903484968
330,0.0993620118399462
331,0.09935207563876221
332,0.09934214043119834
333,0.09933220621715522
334,0.0993222729965335
335,0.09931234076923384
336,0.09930240953515691
337,0.0992924792942034
338,0.09928255004627398
339,0.09927262179126936
340,0.09926269452909023
341,0.09925276825963732
342,0.09924284298281136
343,0.09923291869851308
344,0.09922299540664323
345,0.09921307310710256
346,0.09920315179979185
347,0.09919323148461187
348,0.09918331216146341
349,0.09917339383024726
350,0.09916347649086424
351,0.09915356014321515
352,0.09914364478720084
353,0.09913373042272211
354,0.09912381704967983
355,0.09911390466797487
356,0.09910399327750807
357,0.09909408287818032
358,0.0990841734698925
359,0.0990742650525455
360,0.09906435762604025
361,0.09905445119027766
362,0.09904454574515863
363,0.09903464129058412
364,0.09902473782645506
365,0.09901483535267241
366,0.09900493386913715
367,0.09899503337575025
368,0.09898513387241267
369,0.09897523535902543
370,0.09896533783548953
371,0.09895544130170597
372,0.0989455457575758
373,0.09893565120300005
374,0.09892575763787975
375,0.09891586506211597
376,0.09890597347560975
377,0.0988960828782622
378,0.09888619326997437
379,0.09887630465064738
380,0.09886641702018231
381,0.0988565303784803
382,0.09884664472544245
383,0.0988367600609699
384,0.0988268763849638
385,0.09881699369732531
386,0.09880711199795558
387,0.09879723128675579
388,0.09878735156362711
389,0.09877747282847076
390,0.0987675950811879
391,0.09875771832167979
392,0.09874784254984763
393,0.09873796776559264
394,0.09872809396881609
395,0.09871822115941921
396,0.09870834933730327
397,0.09869847850236954
398,0.09868860865451931
399,0.09867873979365387
400,0.09866887191967451
401,0.09865900503248254
402,0.09864913913197929
403,0.09863927421806609
404,0.09862941029064429
405,0.09861954734961523
406,0.09860968539488027
407,0.09859982442634078
408,0.09858996444389816
409,0.09858010544745377
410,0.09857024743690902
411,0.09856039041216533
412,0.09855053437312411
413,0.0985406793196868
414,0.09853082525175483
415,0.09852097216922966
416,0.09851112007201274
417,0.09850126896000554
418,0.09849141883310954
419,0.09848156969122623
420,0.09847172153425711
421,0.09846187436210369
422,0.09845202817466747
423,0.09844218297185
424,0.09843233875355283
425,0.09842249551967747
426,0.0984126532701255
427,0.09840281200479849
428,0.09839297172359801
429,0.09838313242642566
430,0.09837329411318302
